KIDS_TILE,DMAG_R
KIDS_215.0_-1.5,0.02262548729777336
KIDS_9.0_-28.2,0.03147983551025391
KIDS_201.0_1.5,0.02428759448230267
KIDS_197.0_-0.5,0.01275015622377396
KIDS_226.0_-1.5,0.01758624613285065
KIDS_3.5_-30.2,0.1003569662570953
KIDS_136.0_0.5,0.02629666402935982
KIDS_347.8_-35.1,0.03428386524319649
KIDS_193.5_2.5,-0.07012870907783508
KIDS_50.4_-34.1,0.05730757489800453
KIDS_138.4_2.5,0.04161477833986282
KIDS_188.5_2.5,0.02570636570453644
KIDS_353.2_-28.2,0.03722016513347626
KIDS_355.4_-29.2,0.01371203735470772
KIDS_193.0_-0.5,-0.04994835704565048
KIDS_48.6_-35.1,0.03219667822122574
KIDS_51.8_-30.2,0.01483885571360588
KIDS_34.5_-30.2,0.04970377683639526
KIDS_344.9_-31.2,0.02156574465334415
KIDS_0.0_-35.1,0.03018589317798615
KIDS_17.1_-29.2,0.04961405694484711
KIDS_158.0_1.5,-0.05625529587268829
KIDS_2.4_-32.1,0.02581240423023701
KIDS_237.7_2.5,0.02025742828845978
KIDS_338.1_-35.1,0.04633350297808647
KIDS_53.5_-35.1,0.007494140416383743
KIDS_134.0_-1.5,0.01102905347943306
KIDS_165.0_1.5,-0.05762451887130737
KIDS_135.4_2.5,0.03622563183307648
KIDS_21.6_-29.2,0.05889816582202911
KIDS_195.5_2.5,-0.06487080454826355
KIDS_348.5_-30.2,0.3658596873283386
KIDS_52.9_-32.1,0.02006098255515099
KIDS_35.6_-33.1,0.007993914186954498
KIDS_176.0_-0.5,0.03925219923257828
KIDS_32.7_-28.2,0.05084184184670448
KIDS_347.1_-32.1,0.02235161885619164
KIDS_222.0_-0.5,0.001975191757082939
KIDS_202.0_-0.5,0.01656991243362427
KIDS_235.0_0.5,0.0132744163274765
KIDS_52.3_-33.1,0.06214329600334167
KIDS_340.6_-29.2,-0.05155492201447487
KIDS_37.2_-34.1,0.000556137412786483
KIDS_45.6_-29.2,-0.1085016876459122
KIDS_346.6_-35.1,0.05131214484572411
KIDS_137.0_1.5,0.000245433300733566
KIDS_226.6_2.5,0.03298167511820793
KIDS_11.9_-33.1,0.03246700763702393
KIDS_46.0_-30.2,0.02925795316696167
KIDS_356.5_-31.2,0.02150790393352509
KIDS_215.6_-2.5,0.01298545114696026
